S No,C1,C2
2049,Achievement,Achievement
2050,Political Confrontations,Update
2051,Generic,Generic
2052,Political Confrontations,Update
2053,Generic,Update
2054,Update,Update
2055,Update,Update
2056,Achievement,Update
2057,Appeal,Address
2058,Appeal,Address
2059,Political Confrontations,Update
2060,Appeal,Address
2061,Update,Achievement
2062,Update,Achievement
2063,Political Confrontations,Political Confrontations
2064,Appeal,Address
2065,Generic,Generic
2066,Update,Update
2067,Update,Address
2068,Political Confrontations,Political Confrontations
2069,Endorsement,Update
2070,Update,Update
2071,Political Confrontations,Political Confrontations
2072,Address,Address
2073,Update,Update
2074,Generic,Generic
2075,Appeal,Appeal
2076,Gratitude,Gratitude
2077,Generic,Generic
2078,Generic,Appeal
2079,Generic,Generic
2080,Achievement,Achievement
2081,Political Confrontations,Political Confrontations
2082,Update,Update
2083,Update,Update
2084,Appeal,Appeal
2085,Update,Update
2086,Address,Address
2087,Generic,Generic
2088,Political Confrontations,Political Confrontations
2089,Update,Generic
2090,Update,Generic
2091,Political Confrontations,Political Confrontations
2092,Generic,Generic
2093,Update,Update
2094,Generic,Generic
2095,Address,Address
2096,Update,Generic
2097,Achievement,Achievement
2098,Address,Endorsement
2099,Generic,Generic
2100,Generic,Generic
2101,Appeal,Appeal
2102,Update,Update
2103,Update,Update
2104,Update,Update
2105,Update,Update
2106,Generic,Address
2107,Generic,Gratitude
2108,Achievement,Achievement
2109,Achievement,Update
2110,Achievement,Generic
2111,Update,Update
2112,Update,Generic
2113,Address,Address
2114,Update,Update
